국문제품명,영문제품명,관리번호,작성일자,제품코드,성상,포장단위,작성자,사용법,Allergen국문,Allergen영문,저장방법,사용기한,원본파일
미미로린스 모먼트 오디너리 퍼퓸,Mimi Laurynes Moment Ordinary Perfume,EVCO-1050,2020.06.23,MLPF003,무색~미색의 투명 액상,20 mL,신 혜 정,"맥박이 뛰는 곳, 체온이 높은 신체 부위에 2~3회 가량 분사해주세요.",,,20 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1050_(MLPF001~005)-미미로린스 모먼트 오디너리 퍼퓸.xls
미미로린스 모먼트 오디너리 퍼퓸,Mimi Laurynes Moment Ordinary Perfume,EVCO-1050,2020.06.23,MLPF004,무색~미색의 투명 액상,20 mL,신 혜 정,"맥박이 뛰는 곳, 체온이 높은 신체 부위에 2~3회 가량 분사해주세요.",,,20 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1050_(MLPF001~005)-미미로린스 모먼트 오디너리 퍼퓸.xls
미미로린스 모먼트 오디너리 퍼퓸,Mimi Laurynes Moment Ordinary Perfume,EVCO-1050,2020.06.23,MLPF005,무색~미색의 투명 액상,20 mL,신 혜 정,"맥박이 뛰는 곳, 체온이 높은 신체 부위에 2~3회 가량 분사해주세요.",,,20 mL,차광한 기밀용기에 넣어 실온에서 보관할 것,제품표준서_EVCO1050_(MLPF001~005)-미미로린스 모먼트 오디너리 퍼퓸.xls
보르도 드래곤 풋 필링 스프레이,BORDO Dragon Foot Peeling Spray,EVCO-1051,2020.06.24,BDFS002,유백색 액상,150 mL,신 혜 정,사용 전 흔들어 주세요. 각질 제거가 필요한 부분에 물기를 제거하고 스프레이를 분사한 다음 손으로 문질러준 후 미온수로 헹구어 줍니다.,,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1051_(BDFS002)-보르도 드래곤 풋 필링 스프레이.xls
로에랑스 터치 마이바디 퍼퓸 미스트,ROERANCE Touch My Body Perfume Mist,EVCO-1052,2020.06.30,RRBM010,무색 투명 액상,250 mL,신 혜 정,"샤워 후 전신에 가볍게 뿌린 후 손으로 가볍게 두드려 줍니다. 향수 대용이나 기분 전환을 위해 사용할 때는 손목 안쪽, 귀 및 부위에 사용합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1052_(RRBM010~011)-로에랑스 터치 마이바디 퍼퓸 미스트.xls
로에랑스 터치 마이바디 퍼퓸 미스트,ROERANCE Touch My Body Perfume Mist,EVCO-1052,2020.06.30,RRBM011,무색 투명 액상,250 mL,신 혜 정,"샤워 후 전신에 가볍게 뿌린 후 손으로 가볍게 두드려 줍니다. 향수 대용이나 기분 전환을 위해 사용할 때는 손목 안쪽, 귀 및 부위에 사용합니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1052_(RRBM010~011)-로에랑스 터치 마이바디 퍼퓸 미스트.xls
에바스 나뚜리아 크리미 오일 솔트 스크럽-휘그 펄프,EVAS Naturia Creamy Oil Salt Scrub-Fig Pulp,EVCO-1053,2020.08.26,NPSS005,알갱이가 있는 황색 페이스트상,250g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 개끗하게 씻어냅니다.,,None,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉 후 12개월),제품표준서_EVCO1053_(NPSS005)-에바스 나뚜리아 크리미 오일 솔트 스크럽-휘그 펄프.xls
이즈리프 인티메이트 워시 포 맨(파우치),isLeaf Intimate Wash for Man,EVCO-1054,2020.07.15,ILWSP01,미황색의 투명 점액상,5 mL,신 혜 정,"펌프를 3~4회 눌러 적당량의 거품을 손바닥에 덜어 냅니다. 음경과 음낭, 사타구니, 항문을 따라 부드럽게 마사지하듯이 문지릅니다. 미온수로 잔여물이 남지 않게 헹구어 냅니다.",,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1054_(ILWSP01)-이즈리프 인티메이트 워시 포 맨(파우치).xls
하파데이 퍼퓸드 포밍 핸드워시-소프트 라벤더,HAFADAI Perfumed Foaming Hand Wash-Soft Lavender,EVCO-1055,2020.08.20,HFHW001,황색 투명 점액상,500 mL,신 혜 정,"손바닥에 적당량의 거품을 낸 후, 골고루 마사지하듯 문지르며 흐르는 물에 깨끗이 씻어냅니다.","리모넨, 제라니올, 헥실신남알, 리날룰, 부틸페닐메틸프로피오날","Limonene, Geraniol, Hexyl Cinnamal, Linalool, Butylphenyl Methylpropional",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1055_(HFHW001)-하파데이 퍼퓸드 포밍 핸드워시- 소프트 라벤더.xls
하파데이 퍼퓸드 포밍 핸드워시-프레쉬 프루트,HAFADAI Perfumed Foaming Hand Wash-Fresh Fruit,EVCO-1056,2020.08.20,HFHW002,분홍색 투명 점액상,500 mL,신 혜 정,"손바닥에 적당량의 거품을 낸 후, 골고루 마사지하듯 문지르며 흐르는 물에 깨끗이 씻어냅니다.","리모넨, 리날룰","Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1056_(HFHW002)-하파데이 퍼퓸드 포밍 핸드워시-프레쉬 프루트.xls
하파데이 퍼퓸드 포밍 핸드워시-파우더리 머스크,HAFADAI Perfumed Foaming Hand Wash-Powdery Musk,EVCO-1057,2020.08.20,HFHW003,보라색 투명 점액상,500 mL,신 혜 정,"손바닥에 적당량의 거품을 낸 후, 골고루 마사지하듯 문지르며 흐르는 물에 깨끗이 씻어냅니다.","벤질벤조에이트, 리모넨, 부틸페닐메틸프로피오날","Benzyl Benzoate, Limonene, Butylphenyl Methylpropional",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1057_(HFHW003)-하파데이 퍼퓸드 포밍 핸드워시-파우더리 머스크.xls
에바스 나뚜리아 크리미 밀크 바디워시-휘그 펄프,EVAS Naturia Creamy Milk Body Wash-Fig Pulp,EVCO-1058,2020.08.26,NPBC009,황색 불투명 점액상,750 mL,신 혜 정,적당량을 물에 적신 스폰지나 타올에 덜어 충분히 거품을 내서 전신에 골고루 마사지하듯 문지른 후 충분히 헹구어 냅니다.,"리모넨, 제라니올","Limonene, Geraniol",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1058_(NPBC009)-에바스 나뚜리아 크리미 밀크 바디워시-휘그 펄프.xls
미미로린스 모먼트 바디로션-뮤즈,Mimi Laurynes Moment Body Lotion-Muse,EVCO-1059,2020.09.02,MLBL007,백색의 로션상,500 mL,신 혜 정,샤워 후 물기를 제거하고 적당량을 덜어 전신에 부드럽게 도포합니다.,"알파-아이소메틸아이오논, 벤질벤조에이트, 리모넨, 헥실신남알, 하이드록시시트로넬알, 리날룰","Alpha-Isomethyl Ionone, Benzyl Benzoate , Limonene, Hexyl Cinnamal , Hydroxycitronellal, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1059_(MLBL007)-미미로린스 모먼트 바디로션-뮤즈.xls
미미로린스 모먼트 바디로션-멜리플루어스,Mimi Laurynes Moment Body Lotion-Mellifluous,EVCO-1060,2020.09.02,MLBL008,백색의 로션상,500 mL,신 혜 정,샤워 후 물기를 제거하고 적당량을 덜어 전신에 부드럽게 도포합니다.,"시트로넬올, 리모넨, 제라니올","Citronellol, Limonene, Geraniol",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1060_(MLBL008)-미미로린스 모먼트 바디로션-멜리플루어스.xls
미미로린스 모먼트 바디로션-가드니아,Mimi Laurynes Moment Body Lotion-Gardenia,EVCO-1061,2020.09.02,MLBL009,백색의 로션상,500 mL,신 혜 정,샤워 후 물기를 제거하고 적당량을 덜어 전신에 부드럽게 도포합니다.,"벤질살리실레이트, 시트로넬올, 리모넨, 리날룰","Benzyl Salicylate, Citronellol, Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1061_(MLBL009)-미미로린스 모먼트 바디로션-가드니아.xls
세라클리닉 보태니컬 핸드솝-로즈 오브 예리코,CERACLINIC Dermaid 4.0 Botanical Hand Soap-Rose of Jericho,EVCO-1062,2020.09.08,CCHW001,무색 투명 점액상,300 mL,신 혜 정,"손에 적당량을 펌핑하여 거품을 낸 뒤, 미온수로 개끗하게 씻어내 줍니다.",리날룰,,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1062_(CCHW001)-세라클리닉 보태니컬 핸드솝-로즈 오브 예리코.xls
세라클리닉 보태니컬 핸드솝-포레스트 워크,CERACLINIC Dermaid 4.0 Botanical Hand Soap-Forest Walk,EVCO-1063,2020.09.08,CCHW002,무색 투명 점액상,300 mL,신 혜 정,"손에 적당량을 펌핑하여 거품을 낸 뒤, 미온수로 개끗하게 씻어내 줍니다.","시트로넬올, 헥실신남알, 리날룰",,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1063_(CCHW002)-세라클리닉 보태니컬 핸드솝-포레스트 워크.xls
제이온 비타 글로우 슬리핑팩,J:ON Vita Glow Sleeping Pack,EVCO-1064,2020.10.13,JOPK003,황색의 로션상,"50 mL, 5 mL",신 혜 정,매일 밤 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴 발라 흡수시키고 그대로 취침하세요.,해당사항 없음,None,차광한 기밀용기에 넣어 실온에서 보관할 것,"제조일로부터 3년(50ml-개봉 후 12개월, 5ml-개봉 후 즉시)",제품표준서_EVCO1064_(JOPK003)-제이온 비타 글로우 슬리핑 팩.xls
제이온 비타 글로우 슬리핑팩,J:ON Vita Glow Sleeping Pack,EVCO-1064,2020.10.13,JOPKP03,황색의 로션상,"50 mL, 5 mL",신 혜 정,매일 밤 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴 발라 흡수시키고 그대로 취침하세요.,해당사항 없음,None,차광한 기밀용기에 넣어 실온에서 보관할 것,"제조일로부터 3년(50ml-개봉 후 12개월, 5ml-개봉 후 즉시)",제품표준서_EVCO1064_(JOPK003)-제이온 비타 글로우 슬리핑 팩.xls
제이온 핫 카이엔 솔트 바디 스크럽,J:ON Hot Cayenne Salt Body Scrub,EVCO-1065,2020.10.21,JOSS001,알갱이가 있는 적색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 깨끗하게 씻어냅니다.,"리모넨, 리날룰","Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉 후 12개월),제품표준서_EVCO1065_(JOSS001)-제이온 핫 카이엔 솔트 바디스크럽.xls
제이온 쿨 민트 솔트 바디스크럽,J:ON Cool Mint Salt Body Scrub,EVCO-1066,2020.10.26,JOSS002,알갱이가 있는 청색 페이스트상,250 g,신 혜 정,바디워시 사용 후 적당량을 덜어 전신을 마사지하듯 부드럽게 문질러 준 후 미온수로 깨끗하게 씻어냅니다.,리모넨,Limonene,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 2년(개봉 후 12개월),제품표준서_EVCO1066_(JOSS002)-제이온 쿨 민트 솔트 바디스크럽.xls
제이온 아티초크 슬리핑팩,J:ON Artichoke Sleeping Pack,EVCO-1067,2020.09.18,JOPK001,백색의 크림상,"50 mL, 5 mL",신 혜 정,매일 밤 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴 발라 흡수시키고 그대로 취침하세요.,"리모넨, 리날룰","Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1067_(JOPK001)-제이온 아티초크 슬리핑팩.xls
제이온 아티초크 슬리핑팩,J:ON Artichoke Sleeping Pack,EVCO-1067,2020.09.18,JOPKP01,백색의 크림상,"50 mL, 5 mL",신 혜 정,매일 밤 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴 발라 흡수시키고 그대로 취침하세요.,"리모넨, 리날룰","Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1067_(JOPK001)-제이온 아티초크 슬리핑팩.xls
제이온 허니 워시오프 마스크팩,J:ON Honey Wash Off Mask Pack,EVCO-1068,2020.09.18,JOPK002,갈색의 로션상,"50 mL, 5 mL",신 혜 정,"세안 후 물기 없는 얼굴에 적당량을 덜어 눈가, 입가를 제외한 얼굴 전체에 고르게 펴 발라 줍니다. 약 10분 정도 휴식을 취한 뒤 미온수로 깨끗하게 씻어냅니다.",해당사항 없음,None,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1068_(JOPK002)-제이온 허니 워시오프 마스크팩.xls
제이온 허니 워시오프 마스크팩,J:ON Honey Wash Off Mask Pack,EVCO-1068,2020.09.18,JOPKP02,갈색의 로션상,"50 mL, 5 mL",신 혜 정,"세안 후 물기 없는 얼굴에 적당량을 덜어 눈가, 입가를 제외한 얼굴 전체에 고르게 펴 발라 줍니다. 약 10분 정도 휴식을 취한 뒤 미온수로 깨끗하게 씻어냅니다.",해당사항 없음,None,차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1068_(JOPK002)-제이온 허니 워시오프 마스크팩.xls
프레쥬 유주 허니 에센셜 토너,Fraijour Yuzu Honey Essential Toner,EVCO-1069,2020.12.04,FJSL003,미색 투명 점액상,250 mL,신 혜 정,"아침 저녁 세안 후, 내용물을 적당량 덜어 피부 결을 따라 부드럽게 도포 후 흡수시켜 줍니다.","리모넨, 리날룰","Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1069_(FJSL003)-프레쥬 유주 허니 에센셜 토너.xls
프레쥬 유주 허니 인리치드 크림,Fraijour Yuzu Honey Enriched Cream,EVCO-1070,2020.12.04,FJCR004,황색의 크림상,50 mL,신 혜 정,적당량을 덜어 피부결을 따라 부드럽게 발라줍니다.,"리모넨, 리날룰","Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1070_(FJCR004)-프레쥬 유주 허니 인리치드 크림.xls
프레쥬 유주 허니 올 클렌징 밤,Fraijour Yuzu Honey All Cleansing Balm,EVCO-1071,2020.10.30,FJCB001,황색의 왁스상,50 mL,신 혜 정,물기가 없는 손으로 적당량을 덜어 피부에 롤링해 메이크업을 녹인 후 미온수로 깨끗하게 헹궈줍니다.,"리모넨, 리날룰","Limonene, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1071_(FJCB001)-프레쥬 유주 허니 올 클렌징 밤.xls
제이온 콜라겐 슬리핑팩,J:ON Collagen Sleeping Pack,EVCO-1072,2020.10.30,JOPK004,반투명 젤상,"50 mL, 5 mL",신 혜 정,매일 밤 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴 발라 흡수시키고 그대로 취침하세요.,"리모넨, 헥실신남알, 리날룰","Limonene, Hexyl Cinnamal, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1072_(JOPK004)-제이온 콜라겐 슬리핑팩.xls
제이온 콜라겐 슬리핑팩,J:ON Collagen Sleeping Pack,EVCO-1072,2020.10.30,JOPKP04,반투명 젤상,"50 mL, 5 mL",신 혜 정,매일 밤 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴 발라 흡수시키고 그대로 취침하세요.,"리모넨, 헥실신남알, 리날룰","Limonene, Hexyl Cinnamal, Linalool",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1072_(JOPK004)-제이온 콜라겐 슬리핑팩.xls
제이온 엘에이치에이 필링젤,J:ON LHA Peeling Gel,EVCO-1073,2020.11.01,JOPK005,미색의 젤상,"50 mL, 5 mL",신 혜 정,적당량을 피부에 도포 후 롤링합니다. 미온수로 깨끗하게 씻어냅니다.,"시트로넬올, 리모넨, 제라니올","Citronellol, Limonene, Geraniol",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1073_(JOPK005)-제이온 엘에이치에이 필링젤.xls
제이온 엘에이치에이 필링젤,J:ON LHA Peeling Gel,EVCO-1073,2020.11.01,JOPKP05,미색의 젤상,"50 mL, 5 mL",신 혜 정,적당량을 피부에 도포 후 롤링합니다. 미온수로 깨끗하게 씻어냅니다.,"시트로넬올, 리모넨, 제라니올","Citronellol, Limonene, Geraniol",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년,제품표준서_EVCO1073_(JOPK005)-제이온 엘에이치에이 필링젤.xls
제이온 펌킨 슬리핑팩,J:ON Pumpkin Sleeping Pack,EVCO-1074,2020.11.30,JOPK006,주황색 크림상,"50 mL, 5 mL",신 혜 정,매일 밤 스킨케어 마지막 단계에서 적당량을 덜어 얼굴 전체에 고르게 펴 발라 흡수시키고 그대로 취침하세요.,"알파-아이소메틸아이오논, 벤질살리실레이트, 시트로넬올, 하이드록시시트로넬알","Alpha-Isomethyl Ionone, Benzyl Salicylate, Citronellol, Hydroxycitronellal",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1074_(JOPK006)-제이온 펌킨 슬리핑팩.xls
제이온 차콜 젠틀 폼클렌징,J:ON Charcoal Gentle Foam Cleansing,EVCO-1075,2020.11.05,JOFC004,회색 크림상,100 mL,신 혜 정,"적당히 물기 있는 손에 덜어 충분히 거품을 낸 뒤, 얼굴에 마사지하듯 부드럽게 문질러 줍니다. 미온수로 헹궈 마무리합니다.","알파-아이소메틸아이오논, 벤질살리실레이트, 부틸페닐메틸프로피오날","Alpha-Isomethyl Ionone, Benzyl Salicylate, Butylphenyl Methylpropional",차광한 기밀용기에 넣어 실온에서 보관할 것,제조일로부터 3년(개봉 후 12개월),제품표준서_EVCO1075_(JOFC004)-제이온 차콜 젠틀 폼클렌징.xls
